         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      407    0.001    0.000    0.001    0.000 _util.py:380(<genexpr>)
     1283    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
      444    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      261    0.001    0.000    0.009    0.000 abc.py:105(__new__)
       72    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
     1239    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      122    0.001    0.000    0.024    0.000 __init__.py:2060(<listcomp>)
       61    0.001    0.000    0.003    0.000 __init__.py:2886(insert_on)
      129    0.001    0.000    0.004    0.000 core.py:3603(__init__)
      139    0.001    0.000    0.001    0.000 _lil.py:483(_prepare_index_for_memoryview)
        2    0.001    0.000    0.001    0.000 unicode.py:63(<listcomp>)
     3899    0.001    0.000    0.001    0.000 inspect.py:2548(name)
       97    0.001    0.000    0.001    0.000 _docscrape.py:68(read_to_condition)
      389    0.001    0.000    0.002    0.000 inspect.py:2873(replace)
     2502    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      244    0.001    0.000    0.002    0.000 ntpath.py:203(splitext)
      116    0.001    0.000    0.001    0.000 enum.py:977(__and__)
      124    0.001    0.000    0.021    0.000 _distn_infrastructure.py:700(_attach_argparser_methods)
      126    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      209    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
       61    0.001    0.000    0.081    0.001 __init__.py:2795(activate)
      399    0.001    0.000    0.022    0.000 inspect.py:2859(from_callable)
     2466    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       39    0.001    0.000    0.027    0.001 __init__.py:340(__init__)
      457    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
      379    0.001    0.000    0.001    0.000 _util.py:370(<listcomp>)
       63    0.001    0.000    0.002    0.000 __init__.py:1502(_validate_resource_path)
      408    0.001    0.000    0.001    0.000 decorators.py:771(__init__)
  598/194    0.001    0.000    0.006    0.000 core.py:1834(default_name)
      122    0.001    0.000    0.011    0.000 __init__.py:2584(__init__)
      261    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
